Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Granit Xhaka 17,Arsenal,90,MID,4,3,7,10,0,37,0,0,0,0,8
Danny Ings 258,Southampton,90,FWD,7,3,5,1,0,27,0,0,0,0,11
Pierre-Emile Højbjerg 340,Southampton,90,MID,4,3,4,7,2,59,0,0,0,0,8
Mesut Özil 13,Arsenal,89,MID,5,3,5,2,0,24,0,0,0,0,9
Ryan Bennett 427,Wolves,89,DEF,1,0,9,12,0,38,0,0,0,0,1
Wilfred Ndidi 227,Leicester,89,MID,2,0,9,8,0,47,0,0,0,0,4
Xherdan Shaqiri 462,Liverpool,88,MID,6,5,7,2,0,6,0,0,0,0,4
Mamadou Sakho 143,Crystal Palace,88,DEF,0,0,9,2,0,35,0,0,0,0,13
Bernard Anício Caldeira Duarte 507,Everton,88,MID,1,4,13,5,0,19,0,0,0,0,5
Jack Cork 82,Burnley,87,MID,1,2,8,6,0,63,0,0,0,0,0
Will Hughes 392,Watford,87,MID,2,4,7,5,0,39,0,0,0,0,5
Issa Diop 409,West Ham,87,DEF,1,0,7,4,0,43,1,0,0,0,6
Javier Hernández Balcázar 419,West Ham,86,FWD,7,4,6,2,0,20,0,0,0,0,10
James Tomkins 138,Crystal Palace,86,DEF,1,1,10,6,0,37,0,0,0,0,0
Sergio Rico 509,Fulham,86,GK,0,0,5,1,0,56,0,0,0,111,8
Danny Rose 354,Spurs,86,DEF,0,4,8,5,0,16,0,0,0,0,5
Victor Lindelöf 292,Man Utd,85,DEF,1,1,6,1,0,40,1,0,0,0,9
Robert Snodgrass 489,West Ham,85,MID,2,5,5,10,0,33,0,0,0,0,9
Steve Cook 27,Bournemouth,85,DEF,1,1,9,3,0,56,1,0,0,0,6
Demarai Gray 225,Leicester,84,MID,4,1,6,2,0,29,0,0,0,0,3
Andre Gray 395,Watford,83,FWD,7,2,4,2,0,23,0,0,0,0,10
John Stones 262,Man City,83,DEF,0,0,9,1,0,15,0,0,0,0,9
Joel Matip 243,Liverpool,83,DEF,1,0,9,3,0,12,0,0,0,0,7
David Junior Hoilett 99,Cardiff,82,MID,3,2,6,4,0,46,0,0,0,0,4
Charlie Taylor 74,Burnley,82,DEF,0,1,7,2,0,64,0,0,0,0,2
Ben Mee 70,Burnley,81,DEF,0,2,8,9,0,68,2,0,0,0,5
Vicente Guaita 137,Crystal Palace,81,GK,0,0,7,2,0,23,0,0,0,64,8
Sead Kolasinac 8,Arsenal,81,DEF,0,7,5,5,0,29,1,0,0,0,10
Callum Paterson 101,Cardiff,80,MID,4,2,5,4,0,41,0,0,0,0,4
Bobby Reid 110,Cardiff,80,FWD,5,3,4,0,0,30,0,0,0,0,9
Pascal Groß 59,Brighton,80,MID,3,3,3,1,0,31,0,1,0,0,12
Shkodran Mustafi 7,Arsenal,80,DEF,2,0,6,9,0,40,0,0,0,0,5
Ruben Loftus-Cheek 132,Chelsea,79,MID,6,2,5,0,0,9,0,0,0,0,6
Gabriel Fernando de Jesus 281,Man City,79,FWD,7,3,2,1,0,11,0,0,0,0,7
Fernando Luiz Rosa 272,Man City,79,MID,1,3,12,5,0,15,0,0,0,0,4
Ross Barkley 127,Chelsea,79,MID,3,5,7,1,0,13,0,0,0,0,5
Etienne Capoue 389,Watford,79,MID,1,3,8,14,1,48,0,0,0,0,8
Idrissa Gueye 168,Everton,78,MID,0,2,13,6,0,31,0,0,0,0,0
Davinson Sánchez 359,Spurs,78,DEF,1,2,6,2,0,22,0,0,0,0,4
Jesse Lingard 300,Man Utd,78,MID,4,3,3,3,0,26,0,0,0,0,5
Lucas Torreira 450,Arsenal,78,MID,2,4,5,7,1,38,0,0,0,0,6
Jonny Evans 222,Leicester,77,DEF,1,0,8,2,0,26,0,0,0,0,3
Joe Bennett 94,Cardiff,77,DEF,0,1,9,5,0,50,0,0,0,0,4
Nacho Monreal 5,Arsenal,77,DEF,1,4,5,5,0,24,0,0,0,0,7
Christopher Schindler 192,Huddersfield,76,DEF,1,1,5,4,1,72,0,0,0,0,7
