name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points
Hal_Robson-Kanu,West Brom,52,FWD,3,2,1,3,0,13,0,0,0,0,3
Kieran_Trippier,Spurs,51,DEF,0,5,3,1,0,3,0,0,0,0,7
Dean_Marney,Burnley,51,MID,1,2,5,7,0,28,0,0,0,0,1
Mame Biram_Diouf,Stoke,51,FWD,1,2,5,3,0,26,0,0,0,0,2
Damien_Delaney,Crystal Palace,51,DEF,0,2,3,8,0,39,0,0,0,0,3
Daryl_Janmaat,Watford,50,DEF,2,1,2,2,0,33,0,0,0,0,0
Jack_Cork,Swansea,50,MID,0,1,3,7,0,51,2,0,0,0,0
Adnan_Januzaj,Sunderland,49,MID,0,3,3,3,1,38,0,0,0,0,0
Fabio_Borini,Sunderland,49,FWD,2,0,5,5,0,34,0,0,0,0,3
M'Baye_Niang,Watford,49,FWD,2,2,3,2,0,27,0,0,0,0,6
Dan_Gosling,Bournemouth,49,MID,2,0,4,6,0,24,0,0,0,0,2
Victor_Anichebe,Sunderland,48,FWD,3,1,3,2,0,21,0,0,0,0,5
Valon_Behrami,Watford,48,MID,0,0,5,7,0,39,0,0,0,0,0
Jesús_Navas,Man City,48,MID,0,3,2,2,0,17,0,0,0,0,6
Marouane_Fellaini,Man Utd,48,MID,1,0,10,8,1,14,0,0,0,0,0
Michy_Batshuayi,Chelsea,48,FWD,5,1,0,0,0,3,0,0,0,0,4
Johann Berg_Gudmundsson,Burnley,47,MID,1,3,3,1,0,19,0,0,0,0,3
Leiva_Lucas,Liverpool,47,MID,0,3,4,4,0,17,0,0,0,0,2
Jeffrey_Schlupp,Crystal Palace,47,DEF,0,2,3,0,0,17,0,0,0,0,4
John_O'Shea,Sunderland,47,DEF,0,1,3,5,0,42,0,0,0,0,3
Martin_Kelly,Crystal Palace,46,DEF,0,2,2,4,0,44,0,0,0,0,0
Michael_Dawson,Hull,46,DEF,3,0,1,4,0,44,1,0,0,0,4
Kieran_Gibbs,Arsenal,45,DEF,0,1,6,3,0,3,0,0,0,0,3
Luke_Shaw,Man Utd,45,DEF,0,3,4,1,0,6,0,0,0,0,4
Yannick_Bolasie,Everton,45,MID,1,4,3,3,0,14,0,0,0,0,3
Gabriel Armando_de Abreu,Arsenal,45,DEF,0,0,5,6,0,18,0,0,0,0,2
Pablo_Zabaleta,Man City,45,DEF,1,1,2,2,0,18,0,0,0,0,5
Angelo_Ogbonna,West Ham,45,DEF,0,0,4,2,0,31,0,0,0,0,2
Oumar_Niasse,Hull,44,FWD,4,1,2,3,1,30,0,0,0,0,3
Andrew_Surman,Bournemouth,44,MID,0,1,4,1,1,38,0,0,0,0,0
Ragnar_Klavan,Liverpool,43,DEF,0,0,3,3,0,19,0,0,0,0,4
Moussa_Sissoko,Spurs,43,MID,0,3,4,3,0,5,0,0,0,0,0
Kamil_Grosicki,Hull,43,MID,0,5,3,1,0,27,0,0,0,0,0
Stefano_Okaka,Watford,43,FWD,4,0,2,5,0,23,0,0,0,0,3
Duncan_Watmore,Sunderland,43,MID,0,5,2,1,0,20,0,0,0,0,1
Roberto_Pereyra,Watford,43,MID,2,3,3,2,1,17,0,0,0,0,2
Michael_Carrick,Man Utd,42,MID,0,0,5,2,0,14,0,0,0,0,0
Luka_Milivojevic,Crystal Palace,42,MID,2,0,5,4,0,16,0,0,0,0,3
Adama_Diomande,Hull,42,FWD,2,0,2,1,0,29,0,0,0,0,2
Andy_King,Leicester,41,MID,1,0,1,4,0,26,0,0,0,0,1
Sung-yueng_Ki,Swansea,41,MID,0,1,4,3,0,28,0,0,0,0,0
Ilkay_Gündogan,Man City,41,MID,3,1,3,0,0,8,0,0,0,0,2
Sofiane_Boufal,Southampton,40,MID,1,1,3,5,0,22,0,0,0,0,1
Joe_Ledley,Crystal Palace,40,MID,1,1,2,1,0,26,0,0,0,0,1
Sebastian_Larsson,Sunderland,40,MID,0,3,3,4,1,35,0,0,0,0,0
Jordan_Ayew,Swansea,39,FWD,1,4,5,1,0,7,0,0,0,0,2
Odion_Ighalo,Watford,39,FWD,1,1,2,1,0,29,0,0,0,0,2
Robbie_Brady,Burnley,39,MID,1,3,1,1,0,11,0,0,0,0,4
Ahmed_Musa,Leicester,39,FWD,2,0,1,1,0,20,0,0,0,0,5
Santiago_Cazorla,Arsenal,38,MID,2,2,4,2,0,5,0,0,0,0,5
Juan_Zuñiga,Watford,38,DEF,1,1,1,1,0,15,0,0,0,0,2
Curtis_Davies,Hull,38,DEF,0,2,1,4,0,53,1,0,0,0,3
Jordy_Clasie,Southampton,38,MID,1,1,2,3,0,15,0,0,0,0,3
Edimilson_Fernandes,West Ham,38,MID,0,1,3,4,0,18,0,0,0,0,0
Abdoulaye_Doucouré,Watford,38,MID,1,0,4,4,0,32,0,0,0,0,0
Javier_Manquillo,Sunderland,38,DEF,1,0,2,2,0,28,0,0,0,0,0
Pierre-Emile_Højbjerg,Southampton,38,MID,0,0,6,2,0,16,0,0,0,0,0
